Biomarker,Protein_Gene_or_Other,Experiment_to_Measure_Biomarker,Type_of_Sample,Predictive_Prognostic_or_Diagnostic,Function_as_Biomarker,Type_of_Cancer_or_Disease,Clinical_Endpoint_or_Characteristic_in_Study,Citation,Year_of_Publication,Country_of_Participants,State_or_Region_in_Country_of_Participants
Estrone sulfate,Other (Hormone),Radioimmunoassay (RIA),Circulating concentrations (serum),Predictive,Potential biomarker of simvastatin chemopreventive activity,Breast cancer,Change in concentration over 24–28 weeks of oral simvastatin treatment,"Higgins MJ, et al. A short-term biomarker modulation study of simvastatin in women at increased risk of a new breast cancer. Breast Cancer Res Treat. 2012;131(3):915–924.",2012,United States,Maryland and Massachusetts
bevacizumab-induced hypertension,Other (Clinical condition),Home-based blood pressure measurement,In situ,Predictive,Clinical biomarker of antitumor activity,"NSCLC, colorectal cancer, or ovarian cancer",Predictive of response to bevacizumab and chemotherapy within 42 days,"Mir O, et al. An observational study of bevacizumab-induced hypertension as a clinical biomarker of antitumor activity. Oncologist. 2011;16:1325–1332.",2011,France,Paris
25(OH)D,Other (Vitamin D metabolite),Pooled analysis of trials,Circulating concentrations (blood),Diagnostic,Biomarker for adenoma characteristics and recurrence,Colorectal adenoma,"Adjusted odds ratios for multiplicity, large size, and villous histology","Jacobs ET, et al. Association between circulating concentrations of 25(OH)D and colorectal adenoma: a pooled analysis. Int J Cancer. 2013;133(11).",2013,United States,Arizona
C-reactive protein (CRP),Protein,Repeat measurements (assessments),Serum,Diagnostic,Pro-inflammatory biomarker of risk,Colorectal cancer (CRC),Colon cancer risk (odds ratio) over 3-year period,"Toriola AT, et al. Biomarkers of inflammation are associated with colorectal cancer risk in women but are not suitable as early detection markers. Int J Cancer. 2013;132(11):2648–2658.",2013,United States,-
serum-amyloid A (SAA),Protein,Repeat measurements (assessments),Serum,Diagnostic,Biomarker of inflammation and risk,Colorectal cancer (CRC),Colon cancer risk (odds ratio) over 3-year period,"Toriola AT, et al. Biomarkers of inflammation are associated with colorectal cancer risk in women but are not suitable as early detection markers. Int J Cancer. 2013;132(11):2648–2658.",2013,United States,-
CA125,Protein,Pretreatment laboratory data,Serum,Predictive,Predictor of chemotherapy toxicity,Ovarian cancer,Total Toxicity Score for elderly women receiving chemotherapy,"Won E, Tew WP, et al. CA125 level association with chemotherapy toxicity and function in older women with ovarian cancer. Int J Gynecol Cancer. 2013.",2013,United States,New York
alpha fetoprotein (AFP),Protein,Enzyme immunoassay (EIA),Serum samples,Diagnostic,Tumor marker for early detection,Hepatocellular carcinoma (HCC),Positive response rates comparing 20 ng/ml cutoff in liver disease,"Jirun P, et al. Clinical utility of alpha fetoprotein and HCCR-1, alone or in combination, in patients with chronic hepatitis, liver cirrhosis and hepatocellular carcinoma. Disease Markers. 2011;30(6):307-315.",2011,Korea and China,Seoul and Beijing
HCCR-1,Protein,ELISA and Immunohistochemistry,Serum and liver tissues,Diagnostic,Tumor marker for early detection,Hepatocellular carcinoma (HCC),Positive response rates comparing 10 ng/ml cutoff in liver disease,"Jirun P, et al. Clinical utility of alpha fetoprotein and HCCR-1, alone or in combination, in patients with chronic hepatitis, liver cirrhosis and hepatocellular carcinoma. Disease Markers. 2011;30(6):307-315.",2011,Korea and China,Seoul and Beijing
EGFR mutations,DNA,Genotyping,Tissue samples,Predictive,Predict subject response to EGFR inhibitor drugs,Non-small cell lung cancer,Efficiency in estimating outcome-biomarker correlation (tumor response),"Wang X, Zhou H. Design and inference for cancer biomarker study with an outcome and auxiliary-dependent subsampling. Biometrics. 2010;66(2):502-511.",2010,United States,North Carolina
occult micrometastases (OM),RNA (MUC1 mRNA),RT-PCR and Immunohistochemistry,Histologically negative lymph nodes,Prognostic,Marker of recurrence/metastatic disease,Stage I non-small cell lung cancer (NSCLC),Cancer recurrence within 2 years of follow-up,"Maddaus MA, et al. CALGB 9761: A prospective analysis of IHC and PCR based detection of occult metastatic disease in stage I NSCLC. J Clin Oncol. 2006;24.",2006,United States,-
circulating tumor cells (CTCs),Protein (Cytokeratins),Immunomagnetic separation and immunocytochemistry,Peripheral blood,Prognostic,Strong biomarker to predict disease recurrence,Breast cancer,Overall survival (OS) related to persistence before/after neoadjuvant therapy,"Serrano MJ, et al. Dynamics of circulating tumor cells in early breast cancer under neoadjuvant therapy. Exp Ther Med. 2012;4(4):691-697.",2012,Spain,Granada and Jaén
EDNRB promoter methylation,DNA,Quantitative methylation-specific PCR,Salivary rinses,Diagnostic,Biomarker for oral cancer and premalignancy,Oral cancer/HNSCC,Predictive accuracy (AUC) for discrimination of cancer/dysplasia vs benign,"Schussel J, et al. EDNRB and DCC salivary rinse hypermethylation has a similar performance as expert clinical examination in discrimination of oral cancer/dysplasia vs. benign lesions. Clin Cancer Res. 2013;19(12):3268–3275.",2013,United States,Maryland and New York
DCC methylation,DNA,Quantitative methylation-specific PCR,Salivary rinses,Diagnostic,Biomarker for oral cancer and premalignancy,Oral cancer/HNSCC,Predictive accuracy (AUC) for discrimination of cancer/dysplasia vs benign,"Schussel J, et al. EDNRB and DCC salivary rinse hypermethylation has a similar performance as expert clinical examination in discrimination of oral cancer/dysplasia vs. benign lesions. Clin Cancer Res. 2013;19(12):3268–3275.",2013,United States,Maryland and New York
exhaled nitric oxide (NO),Other (Gas),NO breath analyzer,In situ (breath),Predictive,Predictive biomarker for radiation pneumonitis,Esophagus cancer,Risk of clinical symptoms during neoadjuvant chemoradiotherapy,"Guerrero T, et al. Elevation in exhaled nitric oxide predicts for radiation pneumonitis. Int J Radiat Oncol Biol Phys. 2012;83.",2012,United States,Texas
"HBV A1762T, G1764A mutations",DNA,Nested PCR and BCP sequencing,Serum sample,Diagnostic,Biomarker for identifying subset at extremely high risk,Hepatocellular carcinoma (HCC),"Incidence density (1/100,000 Person-Years) over 36 months follow-up","Fang ZL, et al. HBV A1762T, G1764A mutations are a valuable biomarker for identifying a subset of male HBsAg carriers at extremely high risk of HCC. Am J Gastroenterol. 2008;103(9):2254–2262.",2008,China,Guangxi
Sonic Hedgehog (SHH) mRNA,RNA,Real-time PCR,Carcinoma tissue and paired noncancerous tissue,Prognostic,Indicates a risk of recurrence,Breast carcinoma,Correlation with recurrence following curative resection over 30 months,"Jeng KS, et al. High expression of Sonic Hedgehog signaling pathway genes indicates a risk of recurrence of breast carcinoma. OncoTargets Ther. 2013;6.",2013,Taiwan,Taipei and Tao-Yuan
miRNA-103,RNA,Oligonucleotide microarrays and qRT-PCR,Cellular fraction of peripheral blood,Diagnostic,Potential biomarker for detection,Malignant mesothelioma,Diagnostic performance (sensitivity/specificity) in pleural MM diagnosis,"Weber DG, et al. Identification of miRNA-103 in the cellular fraction of human peripheral blood as a potential biomarker for malignant mesothelioma–a pilot study. PLoS ONE. 2012;7(1):e30221.",2012,Germany,Bochum and Essen
Osteopontin (OPN),Protein,Plasma proteomic profiling,Plasma,Diagnostic,Novel marker for early detection,Hepatocellular carcinoma (HCC),Area under the ROC curve (AUC) for differentiating HCC/cirrhosis,"Shang S, et al. Identification of osteopontin as a novel marker for early hepatocellular carcinoma. Hepatology. 2012;55.",2012,United States and Thailand,Michigan
programmed cell death 6 (PDCD6),RNA,Microarray analysis and real-time RT-PCR,Endoscopic biopsy samples,Prognostic,Correlation with overall survival,Gastric cancer,Hazard ratio for overall survival following 5-FU-based chemotherapy,"Yamada Y, et al. Identification of prognostic biomarkers in gastric cancer using endoscopic biopsy samples. Cancer Sci. 2008;99(11):2193-2199.",2008,Japan,Tokyo
GP88 (progranulin),Protein,Immunoassay,Serum,Diagnostic,"Circulating biomarker for detection, monitoring and follow up",Breast cancer patients (BC),Serum concentration levels compared between stages 1–4 and healthy volunteers,"Tkaczuk KR, et al. Increased circulating level of the survival factor GP88 (progranulin) in the serum of breast cancer patients when compared to healthy subjects. Breast Cancer. 2011;5:155–162.",2011,United States,Maryland
Insulin,Protein,Batch analyses,Serum specimens,Diagnostic,Suspected biomarker of risk,Colorectal cancer (CRC),Hazard ratio for CRC risk over 12-year follow-up period,"Limburg PJ, et al. Insulin, glucose, insulin resistance, and incident colorectal cancer in male smokers. Clin Gastroenterol Hepatol. 2006;4.",2006,Finland,Southwestern Finland
NAD(P)H:quinone oxidoreductase 1 (NQO1),Protein,Immunohistochemistry,Core-needle biopsy and residual tumour tissue,Predictive,Predict response to neoadjuvant chemotherapy,Primary breast cancer,Pathological complete response (pCR) following six cycles of TAC regimen,"Grim J, et al. Low expression of NQO1 predicts pathological complete response to neoadjuvant chemotherapy in breast cancer patients treated with TAC regimen. Folia Biol (Praha). 2012;58:185-192.",2012,Czech Republic,Hradec Králové
Midkine (MK) mRNA,RNA,Real-time quantitative RT-PCR,Peripheral blood mononuclear cells (PBMC),Diagnostic,Potential biomarker for patients having primary NSCLC,Non-small cell lung cancer (NSCLC),Sensitivity and specificity using a 0.0063 cutoff for diagnosis,"Ma Z, et al. Midkine mRNA level in peripheral blood mononuclear cells is a novel biomarker for primary non-small cell lung cancer: a prospective study. J Cancer Res Clin Oncol. 2013;139:557–562.",2013,China,Huzhou
spindle-assembly checkpoint (SAC) by CDK activity,Protein,Cell-cycle profiling (C2P) technology,fine-needle aspiration biopsy,Predictive,Predict taxane chemosensitivity,Breast tumor patients,Clinical response (longest diameter reduction) to preoperative chemotherapy,"Torikoshi Y, et al. Novel functional assay for spindle-assembly checkpoint by cyclin-dependent kinase activity to predict taxane chemosensitivity in breast tumor patient. J Cancer. 2013;4(9):697-702.",2013,United States,Texas
survivin mRNA,RNA,Real-Time PCR,Urinary cells,Diagnostic,Tumor marker for early detection,Bladder cancer,Sensitivity and specificity for detection over 7-year surveillance period,"Johnen G, et al. Performance of survivin mRNA as a biomarker for bladder cancer in the prospective study UroScreen. PLoS ONE. 2012;7(4):e35363.",2012,Germany,Bochum
serum EGF,Protein,Enzyme-linked immunosorbent assay (ELISA),Serum,Predictive,Identify patients for cetuximab/mFOLFOX6 treatment,Advanced gastric cancer,Confirmed response rate (RR) and time-to-progression (TTP),"Han SW, et al. Phase II study and biomarker analysis of cetuximab combined with modified FOLFOX6 in advanced gastric cancer. Br J Cancer. 2009;100:298–304.",2009,Korea,Seoul
phytohemagglutinin-induced IL2 mRNA,RNA,ex vivo blood stimulation and real-time PCR,Whole blood,Predictive,Predict bortezomib-induced peripheral neuropathy (BiPN),Multiple myeloma,Association with BiPN grade after 1.3mg/m2 bortezomib administration,"Watanabe T, et al. Phytohemagglutinin-induced IL2 mRNA in whole blood can predict bortezomib-induced peripheral neuropathy for multiple myeloma patients. Blood Cancer J. 2013;3:e150.",2013,Japan,Tokyo
vascular cell adhesion molecule 1 (VCAM-1),Protein,Antibody suspension bead arrays,Pre-operative plasma,Predictive,Predict post-operative recurrence,Colorectal cancer,Prediction of post-operative recurrence with distal metastasis over 3.9 years,"Yamada Y, et al. Plasma concentrations of VCAM-1 and PAI-1: a predictive biomarker for post-operative recurrence in colorectal cancer. Cancer Sci. 2010;101:1886–1890.",2010,Japan,Tokyo
plasma fluorescent oxidation products (FlOP),Other (Oxidation products),Fluorescent intensity measurement,Pre-diagnostic plasma,Diagnostic,Global biomarker of oxidative stress/risk,Breast cancer,Relative risk (RR) for breast cancer over 10-year period,"Fortner RT, et al. Plasma florescent oxidation products and breast cancer risk: repeated measures in the Nurses’ Health Study. Breast Cancer Res Treat. 2013;141(2):307–316.",2013,United States,-
Progranulin (GP88),Protein,Immunohistochemistry,Formalin-fixed paraffin-embedded blocks (tissue),Prognostic,Associated with increased risk of recurrence,Invasive ductal carcinoma (IDC),Disease-free survival (DFS) and overall survival (OS) over 12 years,"Serrero G, et al. Progranulin (GP88) tumor tissue expression is associated with increased risk of recurrence in breast cancer patients diagnosed with estrogen receptor positive invasive ductal carcinoma. Breast Cancer Res. 2012;14:R26.",2012,United States,-
estrogen receptor (ER),Protein,Immunohistochemistry,Matched primary and recurrent tissue samples,Predictive,Confirms switches which change therapeutic management,Recurrent breast cancer,Change in treatment plan based on receptor status switch,"Thompson AM, et al. Prospective comparison of switches in biomarker status between primary and recurrent breast cancer: the Breast Recurrence In Tissues Study (BRITS). Breast Cancer Res. 2010;12:R92.",2010,United Kingdom,-
tumor LINE-1 methylation level,DNA,PCR and pyrosequencing assay,Archival tumor tissue,Diagnostic,Familial predisposition factor,Colorectal cancer (CRC),Hazard ratio for CRC risk by molecular subtype (high/intermediate/low),"Ogino S, et al. Prospective Study of Family History and colorectal cancer risk by tumor liNe-1 Methylation level. J Natl Cancer Inst. 2013;105.",2013,United States,-
prostate cancer cell telomere length variability,DNA,Telomere-specific FISH staining,Primary cancer tissue,Prognostic,Predict risk of progression to metastasis and death,Clinically-localized prostate cancer,Progression to metastasis or death over maximum 23-year follow-up,"Heaphy CM, et al. Prostate Cancer Cell Telomere Length Variability and Stromal Cell Telomere Length as Prognostic Markers for Metastasis and Death. Cancer Discov. 2013;3(10):1130–1141.",2013,United States,-
Septin 9 (SEPT9) methylated DNA,DNA,Real-time PCR,Plasma,Diagnostic,Sensitive and specific blood test for CRC,Colorectal cancer (CRC),Performance (sensitivity/specificity) across clinical stages and locations,"Warren JD, et al. Septin 9 methylated DNA is a sensitive and specific blood test for colorectal cancer. BMC Med. 2011;9:133.",2011,United States and Russia,-
p63,Protein,Immunohistochemical expression,Biopsy specimens,Prognostic,Better understand tumour behaviour,Bladder cancer,"Variation of expression in relation to type, grade and stage","Mursi K, et al. The expression of p63 in bladder cancer vs. chronic bilharzial bladder. Arab J Urol. 2013;11.",2013,Egypt,-
Bc2 serum biomarker,Protein,SELDI-TOF mass spectrometry,Serum samples,Diagnostic,Highest individual diagnostic power for discrimination,Early breast cancer (BC),Statistical significance in discriminating malignant from benign and healthy groups,"Atahan K, et al. The value of serum biomarkers (Bc1, Bc2, Bc3) in the diagnosis of early breast cancer. Int J Med Sci. 2011;8(2):148-155.",2011,Turkey,?zmir
total cotinine,Other (Nicotine metabolite),Retrospective urine analysis,Pre-diagnostic urine,Diagnostic,Biomarker of lung cancer risk,Lung cancer,Odds ratio for risk in current smokers over 20-year period,"Hecht SS, et al. Tobacco smoke biomarkers and cancer risk among male smokers in the Shanghai cohort study. Cancer Lett. 2013;334.",2013,China,Shanghai
Transforming Growth Factor Beta-1 (TGF-?1),Protein,ELISA immunoassay,Serum,Predictive,Early biomarker for development of moderate-to-severe RIF,Breast cancer,Prediction of moderate-to-severe RIF using 96.0 pg/ml cutoff,"Boothe DL, et al. Transforming growth factor ?-1 (TGF-?1) is a serum biomarker of radiation induced fibrosis in patients treated with intracavitary accelerated partial breast irradiation (IBAPBI): preliminary results of a prospective study. Int J Radiat Oncol Biol Phys. 2013;87(5):1030–1036.",2013,United States,New York
multigene biomarker chip,DNA,membrane array-based multigene biomarker assay,peripheral blood,Prognostic,detects circulating tumor cells for postoperative surveillance,stage I–III colorectal cancer,postoperative relapse,"Chang Y-T, et al. A Prospective Study of Comparing Multi-Gene Biomarker Chip and Serum Carcinoembryonic Antigen in the Postoperative Surveillance for Patients with Stage I-III Colorectal Cancer. PLoS ONE 11(10): e0163264.",2016,Taiwan,Kaohsiung
serum Carcinoembryonic Antigen (CEA),Protein,enzyme immunoassay,peripheral blood,Prognostic,used as a disease relapse marker during surveillance,stage I–III colorectal cancer,unmeasurable elevations in 30%–40% of recurrences,"Chang Y-T, et al. A Prospective Study of Comparing Multi-Gene Biomarker Chip and Serum Carcinoembryonic Antigen in the Postoperative Surveillance for Patients with Stage I-III Colorectal Cancer. PLoS ONE 11(10): e0163264.",2016,Taiwan,Kaohsiung
anti-Ezrin autoantibodies,Protein,ELISA,pre-diagnostic plasma,Diagnostic,potential biomarker for early detection,pancreatic cancer,case-control difference for baseline risk,"Sun Y, et al. A prospective study of autoantibodies to Ezrin and pancreatic cancer risk. Cancer Causes Control. 27(6): 831–835.",2016,USA,12 southern states
soluble receptor for advanced glycation end-products (sRAGE),Protein,human sRAGE Quantikine ELISA,serum or EDTA-plasma,Diagnostic,inverse association with risk of development,colorectal cancer,hazard ratio (HR) for incident CRC over 7.8 years,"Chen L, et al. A prospective study of soluble receptor for advanced glycation end-products and colorectal cancer risk in postmenopausal. Cancer Epidemiol. 42: 115–123.",2016,USA,-
N?-(carboxymethyl)lysine (CML-AGE),Protein,ELISA,Citrate-plasma,Diagnostic,baseline levels investigated for association with risk,colorectal cancer,Spearman correlation analysis in case-cohort,"Chen L, et al. A prospective study of soluble receptor for advanced glycation end-products and colorectal cancer risk in postmenopausal. Cancer Epidemiol. 42: 115–123.",2016,USA,-
neopterin,Other (Pteridine),biochemical analyses,plasma,Diagnostic,biomarker of immune system activation for risk assessment,colorectal cancer,"sum of neopterin and 7,8-dihydroneopterin over 7.2 years follow-up","Aleksandrova K, et al. A prospective study of the immune system activation biomarker neopterin and colorectal cancer risk. JNCI J Natl Cancer Inst. 107(4): djv010.",2015,Europe,-
total plasma cell-free DNA (cfDNA),DNA,quantitative real-time PCR,plasma,Predictive,predictor for response to systemic therapy,advanced non-small-cell lung cancers,"radiologic response, progression-free survival (PFS), and overall survival (OS)","Li BT, et al. A prospective study of total plasma cell-free DNA as a predictive biomarker for response to systemic therapy in patients with advanced non-small-cell lung cancers. Annals of Oncology 27: 154–159.",2016,USA,New York and Boston
serum HER2 extracellular domain (HER2/ECD),Protein,FDA-approved Immuno-1 automated sandwich immunoassay,serum,Prognostic,used for monitoring neoadjuvant therapy efficiency and relapse detection,breast cancer with HER2 overexpression,correlation with clinical outcome (DFS and OS),"Reix N, et al. A prospective study to assess the clinical utility of serum HER2 extracellular domain in breast cancer with HER2 overexpression. Breast cancer research and treatment 160:249–259.",2016,France,Strasbourg
serum adenosine deaminase (ADA),Protein,serum analysis for ADA,serum,Diagnostic,useful candidate for screening high-risk patients,oral squamous cell carcinoma (OSCC),histopathological grade correlation,"Kelgandre DC, et al. Adenosine Deaminase - a Novel Diagnostic and Prognostic Biomarker for Oral Squamous Cell Carcinoma. Asian Pac J Cancer Prev. 17(4):1865-1869.",2016,India,-
plasma fluorescent oxidation products (FlOPs),Other (Oxidation products),FlOP measurements,blood,Diagnostic,investigated for association with subsequent risk,prostate cancer,1:1 matched nested case-control study over 8 years,"Yang S, et al. Association between plasma fluorescent oxidation products and erectile dysfunction - A prospective study. BMC urology 15:85.",2015,USA,Cincinnati and Boston
MYC and-or MYCN protein,Protein,immunohistochemistry,formalin-fixed paraffin-embedded sections,Prognostic,defines highly aggressive MYC-driven neuroblastoma,neuroblastoma,3-year event-free survival (EFS) and overall survival (OS),"Wang LL, et al. Augmented expression of MYC and-or MYCN protein defines highly aggressive MYC-driven neuroblastoma. British journal of cancer.",2015,USA,-
Circulating tumor DNA (ctDNA),DNA,ultra-deep targeted next-generation sequencing (NGS),plasma,Prognostic,provides prognostic information during treatment monitoring,advanced non-small cell lung cancer (NSCLC),prognostic value of baseline ctDNA on overall survival,"Pécuchet N, et al. Base-Position Error Rate Analysis of Next-Generation Sequencing Applied to Circulating Tumor DNA in Non-Small Cell Lung. PLoS medicine.",2016,France,Paris
Blood-based DNA methylation,DNA,methylation-specific PCR and pyrosequencing,"whole blood, serum, or plasma",Diagnostic,"used for screening, detection, and risk stratification",breast cancer (BC),association of global hypomethylation and increased cancer risk,"Tang Q, et al. Blood-based DNA methylation as biomarker for breast cancer: a systematic review. Clinical Epigenetics 8:115.",2016,-,-
CSF neopterin,Other (Pteridine),HPLC with fluorimetric detection,cerebrospinal fluid (CSF),Diagnostic,diagnostic marker for staging,primary central nervous system lymphoma,-,"Viaccoz A, et al. CSF neopterin level as a diagnostic marker in primary central nervous system lymphoma. Neuro-oncology.",2015,-,-
Circulating Metastasis Associated in Colon Cancer 1 (MACC1) transcripts,RNA,quantitative real-time RT-PCR,plasma,Prognostic,strong biomarker for tumor progression and survival,gastric cancer,discrimination from tumor-free volunteers and prediction of survival,"Burock S, et al. Circulating metastasis associated in colon cancer 1 transcripts in gastric cancer patient plasma as diagnostic and prognostic biomarker. World J Gastroenterol 21(1): 333-341.",2015,Germany,Berlin
Circulating tumor DNA (ctDNA),DNA,digital genomic assay Safe-SeqS,plasma,Predictive,early marker of therapeutic response to chemotherapy,metastatic colorectal cancer (mCRC),reduction in sum of largest tumor diameters (SLD),"Tie J, et al. Circulating tumor DNA as an early marker of therapeutic response in patients with metastatic colorectal cancer. Annals of Oncology 26: 1715–1722.",2015,Australia,-
"p53, p21, p27, Ki-67 and cyclin E1",Protein,immunohistochemical staining,transurethral resection (TUR) and radical cystectomy (RC) specimens,Prognostic,predicts marker status to guide multimodal therapeutic planning,high-grade urothelial carcinoma of the bladder (UCB),concordance rate in alterations between surgical procedures,"Passoni NM, et al. Concordance in Biomarker Status Between Bladder Tumors at Time of Transurethral Resection and Subsequent Radical Cystectomy. Bladder cancer 2: 91-100.",2016,USA,Dallas and New York
CA125,Protein,immunocytohistochemistry and serum level assay,"imprint cytology, tissues, and serum",Diagnostic,establishment of validity for early detection,ovarian neoplasm,preoperative serum level correlation with cytohistological expression,"Das C, et al. Correlation of cytohistlogical expression and serum level of ca125 in ovarian neoplasm. Journal of clinical and diagnostic research 8(3): 41-43.",2014,India,West Bengal
lymphocyte-monocyte ratio (LMR),Other (Cell ratio),absolute lymphocyte and monocyte counts,routine blood test,Prognostic,inexpensive biomarker for predicting clinical outcome,stage Ib1-IIa cervical cancer,recurrence-free survival (RFS) and overall survival (OS),"Chen L, et al. Decreased pretreatment lymphocyte-monocyte ratio is associated with poor prognosis in stage Ib1-IIa cervical cancer patients who undergo radical surgery. OncoTargets and therapy.",2015,China,Jinan
Ki-67,Protein,immunohistochemical staining,tumor tissue microarrays,Prognostic,cell proliferation marker assessed for association with diet,localized prostate cancer,lethal prostate cancer risk over follow-up from 1994-2010,"Zu K, et al. Dietary lycopene, angiogenesis, and prostate cancer - a prospective study in the prostate-specific antigen era. JNCI J Natl Cancer Inst.",2014,USA,Pittsburgh
EGFR circulating tumor DNA,DNA,next-generation sequencer deep sequencing,serial plasma samples,Predictive,utility in early evaluation of EGFR-TKI treatment effects,lung cancer with activating EGFR mutations,plasma mutation (PM) score ratio against pretreatment value,"Imamura F, et al. Early responses of EGFR circulating tumor DNA to EGFR tyrosine kinase inhibitors in lung cancer treatment. Oncotarget 7(44).",2016,Japan,-
[18F]fluorothymidine (FLT),Other (PET tracer),FLT-PET-CT imaging,in vivo scan,Predictive,imaging biomarker of proliferation for predicting response to chemotherapy,primary breast cancer,lesion maximum and mean standardized uptake values (SUVmax),"Woolf DK, et al. Evaluation of FLT-PET-CT as an imaging biomarker of proliferation in primary breast cancer. British journal of cancer.",2014,UK,-
fascin,Protein,immunohistochemical analysis,primary tumor and cervical lymph node specimens,Prognostic,evaluated for association with lymphatic metastasis,head and neck squamous cell carcinoma (HNSCC),overall survival and relapse-free survival,"Papaspyrou K, et al. Fascin upregulation in primary head and neck squamous cell carcinoma is associated with lymphatic metastasis. Oncology letters.",2014,Germany,Mainz
